Job Card No.,Invoice No.,Job Card Date,Customer Name,Name Of Item,Qty,Basic Amount,Labour Charges,CGST @14%,SGST @14%,IGST @28%,CGST @9%,SGST @9%,IGST @18%,CGST @6%,SGST @6%,IGST @12%,Godown
AMCIKOMB26000373,AMCIKOMB26000373,01-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,76.27,0.00,0.00,0.00,0.00,0.00,0.00,13.73,0.00,0.00,0.00,Main Location
AMCIKOMB26000373,AMCIKOMB26000373,01-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,446.61,0.00,0.00,0.00,0.00,0.00,0.00,80.39,0.00,0.00,0.00,Main Location
AMCIKOMB26000373,AMCIKOMB26000373,01-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,219.49,0.00,0.00,0.00,0.00,0.00,0.00,39.51,0.00,0.00,0.00,Main Location
AMCIKOMB26000373,AMCIKOMB26000373,01-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,168.64,0.00,0.00,0.00,0.00,0.00,0.00,30.36,0.00,0.00,0.00,Main Location
AMCIKOMB26000373,AMCIKOMB26000373,01-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,135.59,0.00,0.00,0.00,0.00,0.00,0.00,24.41,0.00,0.00,0.00,Main Location
AMCIKOMB26000373,AMCIKOMB26000373,01-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,1194.92,0.00,0.00,0.00,0.00,0.00,0.00,215.08,0.00,0.00,0.00,Main Location
AMCIKOMB26000373,AMCIKOMB26000373,01-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),,,0.00,331.00,0.00,0.00,0.00,0.00,0.00,59.58,0.00,0.00,0.00,Main Location
AMCIKOMB26000373,AMCIKOMB26000373,01-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),,,0.00,441.00,0.00,0.00,0.00,0.00,0.00,79.38,0.00,0.00,0.00,Main Location
AMCIKOMB26000373,AMCIKOMB26000373,01-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),,,0.00,2150.00,0.00,0.00,0.00,0.00,0.00,387.00,0.00,0.00,0.00,Main Location
AMCIKOMB26000374,AMCIKOMB26000374,02-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,127.12,0.00,0.00,0.00,0.00,0.00,0.00,22.88,0.00,0.00,0.00,Main Location
AMCIKOMB26000374,AMCIKOMB26000374,02-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,44.07,0.00,0.00,0.00,0.00,0.00,0.00,7.93,0.00,0.00,0.00,Main Location
AMCIKOMB26000374,AMCIKOMB26000374,02-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,219.49,0.00,0.00,0.00,0.00,0.00,0.00,39.51,0.00,0.00,0.00,Main Location
AMCIKOMB26000374,AMCIKOMB26000374,02-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,135.59,0.00,0.00,0.00,0.00,0.00,0.00,24.41,0.00,0.00,0.00,Main Location
AMCIKOMB26000374,AMCIKOMB26000374,02-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,42.37,0.00,0.00,0.00,0.00,0.00,0.00,7.63,0.00,0.00,0.00,Main Location
AMCIKOMB26000374,AMCIKOMB26000374,02-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,1035.59,0.00,0.00,0.00,0.00,0.00,0.00,186.41,0.00,0.00,0.00,Main Location
AMCIKOMB26000374,AMCIKOMB26000374,02-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),,,0.00,331.00,0.00,0.00,0.00,0.00,0.00,59.58,0.00,0.00,0.00,Main Location
AMCIKOMB26000374,AMCIKOMB26000374,02-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),,,0.00,331.00,0.00,0.00,0.00,0.00,0.00,59.58,0.00,0.00,0.00,Main Location
AMCIKOMB26000375,AMCIKOMB26000375,07-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,76.27,0.00,0.00,0.00,0.00,0.00,0.00,13.73,0.00,0.00,0.00,Main Location
AMCIKOMB26000375,AMCIKOMB26000375,07-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,446.61,0.00,0.00,0.00,0.00,0.00,0.00,80.39,0.00,0.00,0.00,Main Location
AMCIKOMB26000375,AMCIKOMB26000375,07-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,219.49,0.00,0.00,0.00,0.00,0.00,0.00,39.51,0.00,0.00,0.00,Main Location
AMCIKOMB26000375,AMCIKOMB26000375,07-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,429.66,0.00,0.00,0.00,0.00,0.00,0.00,77.34,0.00,0.00,0.00,Main Location
AMCIKOMB26000375,AMCIKOMB26000375,07-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,168.64,0.00,0.00,0.00,0.00,0.00,0.00,30.36,0.00,0.00,0.00,Main Location
AMCIKOMB26000375,AMCIKOMB26000375,07-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,135.59,0.00,0.00,0.00,0.00,0.00,0.00,24.41,0.00,0.00,0.00,Main Location
AMCIKOMB26000375,AMCIKOMB26000375,07-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,42.37,0.00,0.00,0.00,0.00,0.00,0.00,7.63,0.00,0.00,0.00,Main Location
AMCIKOMB26000375,AMCIKOMB26000375,07-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,105.93,0.00,0.00,0.00,0.00,0.00,0.00,19.07,0.00,0.00,0.00,Main Location
AMCIKOMB26000375,AMCIKOMB26000375,07-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,469.83,0.00,0.00,0.00,0.00,0.00,0.00,84.57,0.00,0.00,0.00,Main Location
AMCIKOMB26000375,AMCIKOMB26000375,07-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,1194.92,0.00,0.00,0.00,0.00,0.00,0.00,215.08,0.00,0.00,0.00,Main Location
AMCIKOMB26000375,AMCIKOMB26000375,07-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),,,0.00,331.00,0.00,0.00,0.00,0.00,0.00,59.58,0.00,0.00,0.00,Main Location
AMCIKOMB26000375,AMCIKOMB26000375,07-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),,,0.00,378.00,0.00,0.00,0.00,0.00,0.00,68.04,0.00,0.00,0.00,Main Location
AMCIKOMB26000375,AMCIKOMB26000375,07-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),,,0.00,2150.00,0.00,0.00,0.00,0.00,0.00,387.00,0.00,0.00,0.00,Main Location
AMCIKOMB26000376,AMCIKOMB26000376,10-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,168.64,0.00,0.00,0.00,0.00,0.00,0.00,30.36,0.00,0.00,0.00,Main Location
AMCIKOMB26000376,AMCIKOMB26000376,10-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,135.59,0.00,0.00,0.00,0.00,0.00,0.00,24.41,0.00,0.00,0.00,Main Location
AMCIKOMB26000376,AMCIKOMB26000376,10-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,105.93,0.00,0.00,0.00,0.00,0.00,0.00,19.07,0.00,0.00,0.00,Main Location
AMCIKOMB26000376,AMCIKOMB26000376,10-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,219.49,0.00,0.00,0.00,0.00,0.00,0.00,39.51,0.00,0.00,0.00,Main Location
AMCIKOMB26000376,AMCIKOMB26000376,10-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,76.27,0.00,0.00,0.00,0.00,0.00,0.00,13.73,0.00,0.00,0.00,Main Location
AMCIKOMB26000376,AMCIKOMB26000376,10-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,446.61,0.00,0.00,0.00,0.00,0.00,0.00,80.39,0.00,0.00,0.00,Main Location
AMCIKOMB26000376,AMCIKOMB26000376,10-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,1194.92,0.00,0.00,0.00,0.00,0.00,0.00,215.08,0.00,0.00,0.00,Main Location
AMCIKOMB26000376,AMCIKOMB26000376,10-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),,,0.00,441.00,0.00,0.00,0.00,0.00,0.00,79.38,0.00,0.00,0.00,Main Location
AMCIKOMB26000376,AMCIKOMB26000376,10-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),,,0.00,331.00,0.00,0.00,0.00,0.00,0.00,59.58,0.00,0.00,0.00,Main Location
AMCIKOMB26000377,AMCIKOMB26000377,11-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,127.12,0.00,0.00,0.00,0.00,0.00,0.00,22.88,0.00,0.00,0.00,Main Location
AMCIKOMB26000377,AMCIKOMB26000377,11-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,44.07,0.00,0.00,0.00,0.00,0.00,0.00,7.93,0.00,0.00,0.00,Main Location
AMCIKOMB26000377,AMCIKOMB26000377,11-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,219.49,0.00,0.00,0.00,0.00,0.00,0.00,39.51,0.00,0.00,0.00,Main Location
AMCIKOMB26000377,AMCIKOMB26000377,11-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,378.81,0.00,0.00,0.00,0.00,0.00,0.00,68.19,0.00,0.00,0.00,Main Location
AMCIKOMB26000377,AMCIKOMB26000377,11-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,135.59,0.00,0.00,0.00,0.00,0.00,0.00,24.41,0.00,0.00,0.00,Main Location
AMCIKOMB26000377,AMCIKOMB26000377,11-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,105.93,0.00,0.00,0.00,0.00,0.00,0.00,19.07,0.00,0.00,0.00,Main Location
AMCIKOMB26000377,AMCIKOMB26000377,11-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,864.41,0.00,0.00,0.00,0.00,0.00,0.00,155.59,0.00,0.00,0.00,Main Location
AMCIKOMB26000377,AMCIKOMB26000377,11-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,293.64,0.00,0.00,0.00,0.00,0.00,0.00,52.86,0.00,0.00,0.00,Main Location
AMCIKOMB26000377,AMCIKOMB26000377,11-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,1035.59,0.00,0.00,0.00,0.00,0.00,0.00,186.41,0.00,0.00,0.00,Main Location
AMCIKOMB26000377,AMCIKOMB26000377,11-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),,,0.00,331.00,0.00,0.00,0.00,0.00,0.00,59.58,0.00,0.00,0.00,Main Location
AMCIKOMB26000377,AMCIKOMB26000377,11-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),,,0.00,331.00,0.00,0.00,0.00,0.00,0.00,59.58,0.00,0.00,0.00,Main Location
AMCIKOMB26000377,AMCIKOMB26000377,11-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),,,0.00,1950.00,0.00,0.00,0.00,0.00,0.00,351.00,0.00,0.00,0.00,Main Location
AMCIKOMB26000378,AMCIKOMB26000378,11-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,400.00,0.00,0.00,0.00,0.00,0.00,0.00,72.00,0.00,0.00,0.00,Main Location
AMCIKOMB26000378,AMCIKOMB26000378,11-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,528.81,0.00,0.00,0.00,0.00,0.00,0.00,95.19,0.00,0.00,0.00,Main Location
AMCIKOMB26000378,AMCIKOMB26000378,11-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,127.12,0.00,0.00,0.00,0.00,0.00,0.00,22.88,0.00,0.00,0.00,Main Location
AMCIKOMB26000378,AMCIKOMB26000378,11-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,44.07,0.00,0.00,0.00,0.00,0.00,0.00,7.93,0.00,0.00,0.00,Main Location
AMCIKOMB26000378,AMCIKOMB26000378,11-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,219.49,0.00,0.00,0.00,0.00,0.00,0.00,39.51,0.00,0.00,0.00,Main Location
AMCIKOMB26000378,AMCIKOMB26000378,11-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,321.19,0.00,0.00,0.00,0.00,0.00,0.00,57.81,0.00,0.00,0.00,Main Location
AMCIKOMB26000378,AMCIKOMB26000378,11-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,135.59,0.00,0.00,0.00,0.00,0.00,0.00,24.41,0.00,0.00,0.00,Main Location
AMCIKOMB26000378,AMCIKOMB26000378,11-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,105.93,0.00,0.00,0.00,0.00,0.00,0.00,19.07,0.00,0.00,0.00,Main Location
AMCIKOMB26000378,AMCIKOMB26000378,11-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,1035.59,0.00,0.00,0.00,0.00,0.00,0.00,186.41,0.00,0.00,0.00,Main Location
AMCIKOMB26000378,AMCIKOMB26000378,11-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,293.64,0.00,0.00,0.00,0.00,0.00,0.00,52.86,0.00,0.00,0.00,Main Location
AMCIKOMB26000378,AMCIKOMB26000378,11-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),,,0.00,331.00,0.00,0.00,0.00,0.00,0.00,59.58,0.00,0.00,0.00,Main Location
AMCIKOMB26000378,AMCIKOMB26000378,11-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),,,0.00,331.00,0.00,0.00,0.00,0.00,0.00,59.58,0.00,0.00,0.00,Main Location
AMCIKOMB26000378,AMCIKOMB26000378,11-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),,,0.00,1950.00,0.00,0.00,0.00,0.00,0.00,351.00,0.00,0.00,0.00,Main Location
AMCIKOMB26000379,AMCIKOMB26000379,14-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,127.12,0.00,0.00,0.00,0.00,0.00,0.00,22.88,0.00,0.00,0.00,Main Location
AMCIKOMB26000379,AMCIKOMB26000379,14-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,44.07,0.00,0.00,0.00,0.00,0.00,0.00,7.93,0.00,0.00,0.00,Main Location
AMCIKOMB26000379,AMCIKOMB26000379,14-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,219.49,0.00,0.00,0.00,0.00,0.00,0.00,39.51,0.00,0.00,0.00,Main Location
AMCIKOMB26000379,AMCIKOMB26000379,14-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,135.59,0.00,0.00,0.00,0.00,0.00,0.00,24.41,0.00,0.00,0.00,Main Location
AMCIKOMB26000379,AMCIKOMB26000379,14-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,42.37,0.00,0.00,0.00,0.00,0.00,0.00,7.63,0.00,0.00,0.00,Main Location
AMCIKOMB26000379,AMCIKOMB26000379,14-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,105.93,0.00,0.00,0.00,0.00,0.00,0.00,19.07,0.00,0.00,0.00,Main Location
AMCIKOMB26000379,AMCIKOMB26000379,14-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,1035.59,0.00,0.00,0.00,0.00,0.00,0.00,186.41,0.00,0.00,0.00,Main Location
AMCIKOMB26000379,AMCIKOMB26000379,14-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),,,0.00,331.00,0.00,0.00,0.00,0.00,0.00,59.58,0.00,0.00,0.00,Main Location
AMCIKOMB26000379,AMCIKOMB26000379,14-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),,,0.00,331.00,0.00,0.00,0.00,0.00,0.00,59.58,0.00,0.00,0.00,Main Location
AMCIKOMB26000379,AMCIKOMB26000379,14-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),,,0.00,1950.00,0.00,0.00,0.00,0.00,0.00,351.00,0.00,0.00,0.00,Main Location
AMCIKOMB26000380,AMCIKOMB26000380,16-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,127.12,0.00,0.00,0.00,0.00,0.00,0.00,22.88,0.00,0.00,0.00,Main Location
AMCIKOMB26000380,AMCIKOMB26000380,16-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,44.07,0.00,0.00,0.00,0.00,0.00,0.00,7.93,0.00,0.00,0.00,Main Location
AMCIKOMB26000380,AMCIKOMB26000380,16-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,219.49,0.00,0.00,0.00,0.00,0.00,0.00,39.51,0.00,0.00,0.00,Main Location
AMCIKOMB26000380,AMCIKOMB26000380,16-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,105.93,0.00,0.00,0.00,0.00,0.00,0.00,19.07,0.00,0.00,0.00,Main Location
AMCIKOMB26000380,AMCIKOMB26000380,16-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,1035.59,0.00,0.00,0.00,0.00,0.00,0.00,186.41,0.00,0.00,0.00,Main Location
AMCIKOMB26000380,AMCIKOMB26000380,16-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,42.37,0.00,0.00,0.00,0.00,0.00,0.00,7.63,0.00,0.00,0.00,Main Location
AMCIKOMB26000380,AMCIKOMB26000380,16-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,135.59,0.00,0.00,0.00,0.00,0.00,0.00,24.41,0.00,0.00,0.00,Main Location
AMCIKOMB26000380,AMCIKOMB26000380,16-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),,,0.00,331.00,0.00,0.00,0.00,0.00,0.00,59.58,0.00,0.00,0.00,Main Location
AMCIKOMB26000380,AMCIKOMB26000380,16-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),,,0.00,331.00,0.00,0.00,0.00,0.00,0.00,59.58,0.00,0.00,0.00,Main Location
AMCIKOMB26000380,AMCIKOMB26000380,16-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),,,0.00,1950.00,0.00,0.00,0.00,0.00,0.00,351.00,0.00,0.00,0.00,Main Location
AMCIKOMB26000381,AMCIKOMB26000381,16-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,76.27,0.00,0.00,0.00,0.00,0.00,0.00,13.73,0.00,0.00,0.00,Main Location
AMCIKOMB26000381,AMCIKOMB26000381,16-03-2026,ASSURANT WARRANTY SOLUTIONS (Easy Care Claim),Sales,,279.66,0.00,0.00,0.00,0.00,0.00,0.00,50.34,0.00,0.00,0.00,Main Location
